,restaurant_name,avg_rating,special_diets,price_level,cuisines,address,ZIP
449,Marcodi,5.0,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['Italian', 'Seafood', 'Mediterranean', 'European']","Florianigasse 50, Vienna 1080 Austria",1080
450,MARCOS Fresh Greek,4.0,Vegetarian Friendly,€,"['Mediterranean', 'Greek']","Landstrasser Hauptstrasse 73, Vienna 1030 Austria",1030
451,Colono | Gourmet Shop & Tapas Bar,5.0,"Gluten Free Options, Vegetarian Friendly",€€-€€€,"['Mediterranean', 'Spanish', 'Deli', 'Wine Bar']","Landstraßer Hauptstraße 6, Vienna 1030 Austria",1030
452,Stilbruch Restaurant,4.5,Vegetarian Friendly,€€-€€€,"['International', 'European']","Gumpendorferstraße 16, Vienna 1060 Austria",1060
453,Nook Café,5.0,"Vegetarian Friendly, Vegan Options",€,"['Austrian', 'Mediterranean', 'Fusion', 'Cafe', 'European']","Altgasse 12 3min from main Entrance of Schönbrunn, Vienna 1130 Austria",1130
454,Gundis Café & Restaurant,4.5,Vegetarian Friendly,€€-€€€,"['International', 'Diner']","Seidengasse 34 Kaiserstrasse 38, Vienna 1070 Austria",1070
455,Stuwer - Neues Wiener Beisl,4.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'European', 'Central European']","Stuwerstrasse 47 Ecklokal, Vienna 1020 Austria",1020
456,Kurkonditorei Oberlaa,4.5,Vegetarian Friendly,€€-€€€,"['Cafe', 'Austrian', 'European']","Simmeringer Hauptstrasse 234 Central Cemetery, Vienna 1110 Austria",1110
457,Veggiezz,4.0,Vegetarian Friendly,€€-€€€,['Contemporary'],"Keplerplatz 11, Vienna 1100 Austria",1100
458,Hollerkoch,4.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'European']","Gersthoferstraße 14, Vienna 1180 Austria",1180
459,Blumenwiese,3.0,Vegetarian Friendly,€€-€€€,['Austrian'],"Hohe Obere Donaustrasse 100 Donaukanal, Vienna 1020 Austria",1020
460,Ariston Hellenic Restaurant,5.0,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['Mediterranean', 'Greek', 'Healthy', 'Grill']","Abt-Karl-Gasse 25, Vienna 1180 Austria",1180
461,GO!Wien,4.5,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['Austrian', 'Bar', 'International', 'European', 'Diner', 'Street Food', 'Central European']","Fleischmarkt 1A, Vienna 1010 Austria",1010
462,Peter Pane Wien,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['American', 'Bar']","Mariahilfer Strasse 127, Vienna 1060 Austria",1060
463,My Secret Garden,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Cafe', 'Asian', 'Thai', 'New Zealand', 'Malaysian']","Mariahilfer Strasse 45 1060, Vienna 1060 Austria",1060
464,Midi Café & Bistrot,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['French', 'European', 'Mediterranean', 'Diner', 'Healthy']","Wipplingerstrasse 30 Near Holmes Place, Vienna 1010 Austria",1010
465,Bierheuriger zum Gangl,3.5,Vegetarian Friendly,€€-€€€,"['German', 'Austrian', 'Bar', 'International', 'European']","Alser Strasse 4, Vienna 1090 Austria",1090
466,Apron,5.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€€€,"['Austrian', 'European', 'Central European', 'International', 'Contemporary']","Am Heumarkt 35, Vienna 1030 Austria",1030
467,Café Zehnsiebzig,4.5,Vegetarian Friendly,€€-€€€,"['Cafe', 'Bar', 'European', 'Pub', 'Croatian']","Burggasse 68, Vienna 1070 Austria",1070
468,Eloa by Cohen's,4.5,Vegetarian Friendly,€€-€€€,"['International', 'Grill', 'Middle Eastern']","Gertrude-Froehlich-Sandner-Strasse 3/2 By Vienna Central Station, Vienna 1100 Austria",1100
469,Cafe Frida,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,['Cafe'],"Payergasse 12, Vienna 1160 Austria",1160
470,Little India,5.0,"Vegetarian Friendly, Vegan Options",€€-€€€,['Indian'],"Koppstrasse 10 OPPOSITE , POSAMENTIR, Koppstrasse 10, Vienna 1160 Austria",1160
471,Gumpendorfer Stube,4.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'European', 'Central European']","Fillgradergasse 9, Vienna 1060 Austria",1060
472,MOMO Pizza Gourmet,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Italian', 'Pizza', 'Mediterranean', 'European']","Kirchengasse 35, Vienna 1070 Austria",1070
473,Family and Friends,4.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'International', 'European', 'Diner', 'Street Food', 'Central European', 'Contemporary']","Praterstrasse 20, Vienna 1020 Austria",1020
474,Reserva Ibérica by PACO,4.5,Vegetarian Friendly,€€-€€€,"['Spanish', 'Deli']","Wallnerstrasse 5, Vienna 1010 Austria",1010
475,Il Teatro Milano Ristorante,3.5,Vegetarian Friendly,€€-€€€,"['Italian', 'Pizza', 'Mediterranean']","Mittelgasse 26 at the Corner to Wallgasse 29, Vienna 1060 Austria",1060
476,Der Bettelstudent,4.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'European', 'German', 'Bar', 'Pub']","Johannesgasse 12, Vienna 1010 Austria",1010
477,Neko Restaurant,3.5,Vegetarian Friendly,€€-€€€,['Japanese'],"Mahlerstrasse 11, Vienna 1010 Austria",1010
478,Heurigen Gobel Goebel,4.5,Vegetarian Friendly,€€€€,"['Austrian', 'European', 'Wine Bar']","Stammersdorfer Kellergasse 131, Vienna 1210 Austria",1210
479,Stiegl-Ambulanz,3.0,Vegetarian Friendly,€€-€€€,"['German', 'Austrian', 'Bar', 'Central European', 'European']","Alser Strasse 4 Im alten AKH UNI-Campus, Hof 1, Vienna 1090 Austria",1090
480,Restaurant Stasta,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Austrian', 'European', 'Central European']","Lehmanngasse 11, Vienna 1230 Austria",1230
481,Das Spittelberg,4.0,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['Austrian', 'European']","Spittelberggasse 12, Vienna 1070 Austria",1070
482,Hopferl,4.0,Vegetarian Friendly,€€-€€€,['Austrian'],"Naglergasse 13, Vienna 1010 Austria",1010
483,Gasthaus Stern,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Austrian', 'European', 'Central European']","Braunhubergasse 6 1110 Wien, Vienna 1110 Austria",1110
485,Die Burgermacher,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['American', 'Fast food', 'Fusion']","Burggasse 12, Vienna 1070 Austria",1070
486,Kai's Asian Food,4.0,Vegetarian Friendly,€,"['Japanese', 'Sushi', 'Asian', 'Chinese', 'Korean']","Burggasse 123, Vienna 1070 Austria",1070
487,Tethys Cafe-Restaurant-Bar-Lounge,4.5,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['Austrian', 'Central European', 'Bar']","Praterstrasse 57 (Tethysgasse), Vienna 1020 Austria",1020
488,Haas & Haas,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Austrian', 'Cafe', 'European', 'Contemporary']","Stephansplatz 4, Vienna 1010 Austria",1010
489,HEFI der Wiener Baumkuchen,4.0,Vegetarian Friendly,€,['European'],"Rotenturmstrasse 23, Vienna 1010 Austria",1010
490,Venuss Bistro & Take-away,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Healthy', 'Austrian', 'International', 'Contemporary', 'Diner']","Herrengasse 6-8, Vienna 1010 Austria",1010
491,Das Glashaus - Restaurant & Bar,3.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'Mediterranean', 'European']","Am grünen Prater 11, Vienna 1020 Austria",1020
492,Ufertaverne,3.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Austrian', 'Seafood', 'Mediterranean', 'European', 'Central European', 'International']","An der Oberen Alten Donau 186, Vienna 1220 Austria",1220
493,SHU Restaurant Vienna,4.5,Vegetarian Friendly,€€-€€€,"['Chinese', 'Fast food', 'Asian', 'Deli', 'Diner']","Operngasse 28, Vienna 1040 Austria",1040
494,Honu Tiki Bowls,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Hawaiian', 'Asian']","Teinfaltstrasse 4, Vienna 1010 Austria",1010
495,Tre Ristorante,4.0,Vegetarian Friendly,€€-€€€,"['Italian', 'Seafood', 'European', 'Mediterranean']","Wollzeile 19, Vienna 1010 Austria",1010
496,Health Kitchen,3.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['European', 'Asian', 'Healthy']","Wollzeile 31, Vienna 1010 Austria",1010
497,All Rice,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Thai', 'Asian']","Schweglerstrasse 12, Vienna 1150 Austria",1150
498,Neni am Naschmarkt,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Mediterranean', 'Healthy', 'Middle Eastern', 'Israeli']","Naschmarkt Stand 510, Vienna 1060 Austria",1060
499,Ganesha Indisches Restaurant,5.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Indian', 'Healthy', 'Grill']","Antonigasse 9 Martinstrasse, Vienna 1180 Austria",1180
500,Spice of India,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Indian', 'Asian']","Margaretenstrasse 49 Margaretenstrasse ecke Kleinneugasse, Vienna 1040 Austria",1040
501,Magazin,4.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'European', 'Wine Bar', 'Central European', 'Diner']","Riemergasse 14, Vienna 1010 Austria",1010
502,Bar Montina,5.0,Vegetarian Friendly,€€-€€€,"['Cafe', 'European']","Heinestrasse 30, Vienna 1020 Austria",1020
503,Zattl,3.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'Bar', 'European', 'Central European']","Freyung 6 A-1010, Vienna 1010 Austria",1010
504,Cantinetta La Norma,3.5,Vegetarian Friendly,€€-€€€,"['Italian', 'Pizza', 'Mediterranean', 'European']","Franziskanerplatz 3, Vienna 1010 Austria",1010
505,Die Feinkosterei,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Austrian', 'European', 'Central European']","Judenplatz 7, Vienna 1010 Austria",1010
506,Restaurant Pizzeria Lana,5.0,Vegetarian Friendly,€€-€€€,"['Italian', 'Pizza']","Zieglergasse 96, Vienna 1070 Austria",1070
507,Rado's Gastwirtschaft,5.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'European', 'Central European']","Alserbachstrasse 1 Fußgängerzone, Vienna 1090 Austria",1090
508,Kurkonditorei Oberlaa,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['German', 'Austrian', 'Cafe', 'European', 'Central European']","Neuer Markt 10-11, Vienna 1010 Austria",1010
509,Mitra,4.5,Vegetarian Friendly,€€-€€€,"['Latin', 'Middle Eastern', 'Spanish']","Linzer Strasse 420, Vienna 1140 Austria",1140
510,Meidlinger Wirt,4.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'International', 'European', 'Pub', 'Gastropub', 'Central European']","Grieshofgasse 1 Corner Schonbrunnerstrasse 245, Vienna 1120 Austria",1120
511,Cafe Schuhmeier,4.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'Cafe', 'European']","Schuhmeierplatz 17-18, Vienna 1160 Austria",1160
512,HAN am Stadtpark,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Asian', 'Korean']","Am Heumarkt 9/3, Vienna 1030 Austria",1030
513,Papaya Restaurant,5.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Asian', 'Thai', 'Sushi']","Neustiftgasse 40, Vienna 1070 Austria",1070
514,Das Chadim,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,['Diner'],"Friedrich-Adler-Weg 1 1100 Vienna, Vienna 1100 Austria",1100
515,L'Osteria Wien Auhof Center,4.0,Vegetarian Friendly,€,"['Italian', 'Pizza', 'Mediterranean']","Albert Schweitzer Gasse 6 2.OG, Vienna 1140 Austria",1140
516,Mama & Der Bulle,4.0,Vegetarian Friendly,€€-€€€,"['American', 'Steakhouse', 'Barbecue']","Schellinggasse 5, Vienna 1010 Austria",1010
517,Art Corner,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Mediterranean', 'European', 'Greek', 'Central European']","Prinz-Eugen-Strasse 56, Vienna 1040 Austria",1040
518,Sinohouse,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Asian', 'Thai', 'Malaysian']","Nussdorfer Strasse 86, Vienna 1090 Austria",1090
519,Santos Neubau I Mexican Grill & Bar,4.5,Vegetarian Friendly,€€-€€€,"['Mexican', 'Grill']","Siebensterngasse 14, Vienna 1070 Austria",1070
520,DEVAL,5.0,Vegetarian Friendly,€€€€,"['European', 'Contemporary', 'Fusion', 'Central European']","Doblhoffgasse 5, Vienna 1010 Austria",1010
521,Salieri Pizzeria,3.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Italian', 'Pizza', 'Mediterranean', 'European']","Seilerstatte 17, Vienna A 1010 Austria",1010
522,Pastamara,4.5,Vegetarian Friendly,€€-€€€,"['Italian', 'Mediterranean', 'Sicilian', 'Southern-Italian', 'European']","Schubertring 5-7, Vienna 1010 Austria",1010
523,Taj,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,['Indian'],"Kochgasse 9, Vienna 1080 Austria",1080
524,cucinaCipriano,5.0,Vegetarian Friendly,€€-€€€,"['Italian', 'Seafood', 'Mediterranean', 'Sicilian', 'Sardinian', 'Southern-Italian', 'European']","Aegidigasse 15, Vienna 1060 Austria",1060
525,One Night In Beijing,4.0,"Vegetarian Friendly, Vegan Options",€€€€,"['Chinese', 'Asian', 'Japanese']","Nussdorfer Platz 8, Vienna 1190 Austria",1190
526,Little Giant,5.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'Central European', 'Bar', 'Cafe']","Rathausstrasse 11 Top 2, Vienna 1010 Austria",1010
527,Wiki Wiki Poke Wipplingerstrasse,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Sushi', 'Asian', 'Healthy', 'Hawaiian']","Wipplingerstrasse 21, Vienna 1010 Austria",1010
528,Trattoria Santo Stefano,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Italian', 'European']","Dorotheergasse 5 1010 Vienna, Vienna 1010 Austria",1010
529,Restaurant Sahara,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Middle Eastern', 'Indian', 'Persian', 'Arabic']","Babenbergerstrasse 5, Vienna 1010 Austria",1010
530,Pub Klemo,5.0,Vegetarian Friendly,€€-€€€,"['European', 'Wine Bar', 'International']","Margaretenstrasse 61 1050 Vienna, Vienna 1050 Austria",1050
531,Taste of India Marxergasse,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,['Indian'],"Marxergasse 19, Vienna 1030 Austria",1030
532,Addicted to Rock Stadtbahnbögen,4.5,Vegetarian Friendly,€€-€€€,"['American', 'Bar', 'Barbecue', 'Pub']","U-Bahn Bogen Guertellinie 186-188 Döblinger Gürtel, Vienna 1190 Austria",1190
533,Restaurant Führich,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,['Austrian'],"Fuehrichgasse 6 direkt hinter der Wiener Staatsoper, in einer Seitengasse der Kärntnerstraße, Vienna 1010 Austria",1010
534,Restaurant Roth,4.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'European', 'Central European', 'International']","Währinger Strasse 1, Vienna 1090 Austria",1090
535,Taqueria Los Mexikas,4.0,Vegetarian Friendly,€€-€€€,"['Mexican', 'Latin', 'Central American']","Lange Gasse 12, Vienna 1080 Austria",1080
536,Gasthaus Hansy,4.0,Vegetarian Friendly,€€-€€€,['Austrian'],"Heinestrasse 42, Vienna 1020 Austria",1020
537,Cafe Braunerhof,3.5,Vegetarian Friendly,€€-€€€,['Austrian'],"Stallburggasse 2, Vienna 1010 Austria",1010
538,Augustinerkeller,3.5,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['Austrian', 'European', 'Grill']","Augustinerstrasse 1 next to State Opera house, Vienna 1010 Austria",1010
539,Rembetiko,4.0,Vegetarian Friendly,€€-€€€,"['Seafood', 'Mediterranean', 'European', 'Greek', 'Central European']","Porzellangasse 38, Vienna 1090 Austria",1090
540,Donaubräu,3.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'European']","Donauturmplatz 1, Vienna 1210 Austria",1210
542,Falco's,4.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'European', 'Central European']","Schwarzenbergplatz 3 1010 Wien, Vienna 1010 Austria",1010
543,Nirvana - The Indian Restaurant,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Indian', 'Asian', 'Healthy']","Rotenturmstrasse 16-18 Ecke Fleischmarkt, Vienna 1010 Austria",1010
544,Plain Vienna,4.0,Vegetarian Friendly,€€-€€€,"['Bar', 'Deli', 'Fusion']","Berggasse 25, Vienna 1090 Austria",1090
545,Buchecker & Sohn im Gusshaus,4.0,Vegetarian Friendly,€€-€€€,"['German', 'Austrian', 'European', 'Central European']","Gusshausstrasse 23, Vienna 1040 Austria",1040
546,L4,5.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'Brew Pub', 'European', 'Bar']","Wiedner Hauptstrasse 111, Vienna 1050 Austria",1050
547,Materia,4.5,Vegetarian Friendly,€€€€,['Italian'],"Tigergasse 31, Vienna 1080 Austria",1080
548,Swing Kitchen,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,['Fast food'],"Schwedenplatz 3-4 Top 4-5, Vienna 1010 Austria",1010
549,Ungar Grill,4.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'European']","Burggasse 97, Vienna 1070 Austria",1070
550,Restaurant Orpheas,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Mediterranean', 'European', 'Greek']","Spiegelgasse 10, Vienna 1010 Austria",1010
551,Lindbergh,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Austrian', 'European', 'Central European']","Linzer Strasse 179, Vienna 1140 Austria",1140
552,"Le Burger, Rotenturmstraße",4.5,Vegetarian Friendly,€€-€€€,"['American', 'Bar']","Rotenturmstrasse 15, Vienna 1010 Austria",1010
553,Cavalluccio da Tommaso,4.0,Vegetarian Friendly,€€-€€€,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Wine Bar']","Goettweihergasse 2, Vienna 1010 Austria",1010
554,Vanillas,5.0,Vegetarian Friendly,€€-€€€,"['Cafe', 'European']","Freyung 3, Vienna 1010 Austria",1010
555,Pizzeria Modena,4.0,Vegetarian Friendly,€€-€€€,"['Italian', 'Pizza', 'Mediterranean', 'European']","Landstrasser Hauptstrasse 133, Vienna 1030 Austria",1030
556,Restaurant so guad,5.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'Central European']","Cobenzlgasse 30, Vienna 1190 Austria",1190
557,Eugen21,4.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'European', 'Central European']","Arsenalstrasse 10, Vienna 1100 Austria",1100
558,Restaurant Mythos Fisch und Lamm,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Mediterranean', 'European', 'Greek']","Webgasse 45, Vienna 1060 Austria",1060
559,Chinacy,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Chinese', 'Asian']","Johannesgasse 9-13, Vienna 1010 Austria",1010
560,Restaurant Fromme Helene,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Austrian', 'European', 'Central European']","15 Josefstaedter Street Lange Gasse 33, Vienna 1080 Austria",1080
561,Seven North,3.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Mediterranean', 'Middle Eastern', 'Israeli', 'Street Food']","Schottenfeldgasse 74, Vienna 1070 Austria",1070
562,Wiener Wuerstelstand,3.5,Vegetarian Friendly,€,"['Austrian', 'Fast food', 'European', 'Central European', 'Grill']","Pfeilgasse Corner Strozzigasse, Vienna 1080 Austria",1080
563,Restaurant Der Kuckuck,4.0,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['Austrian', 'European', 'Central European', 'Contemporary']","Himmelpfortgasse 15, Vienna 1010 Austria",1010
564,Aurora Rooftop Bar,4.5,Vegetarian Friendly,€€-€€€,"['Bar', 'Cafe', 'Mediterranean', 'Central European']","Arsenalstrasse 10, Vienna 1100 Austria",1100
565,The Lala,4.0,"Vegetarian Friendly, Vegan Options",€,['Contemporary'],"Neustiftgasse 23, Vienna 1070 Austria",1070
566,Arezu - modern persian cuisine,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Persian', 'International', 'Middle Eastern']","Florianigasse 19, Vienna 1080 Austria",1080
567,Vapiano,3.0,Vegetarian Friendly,€,"['Italian', 'Pizza', 'European']","Gertrude-Froehlich-Sandner-Strasse 13A Top1, Vienna 1100 Austria",1100
568,Restaurant Akropolis 22,4.0,Vegetarian Friendly,€€-€€€,['Greek'],"Stadlauer Strasse 26, Vienna 1220 Austria",1220
569,Restaurant Artemis,4.0,Vegetarian Friendly,€€-€€€,"['European', 'Greek', 'Mediterranean']","1010 Wien, Griechengasse 3, Vienna Austria",1010
570,TUYA,4.0,"Vegetarian Friendly, Vegan Options",€€€€,"['French', 'Mediterranean', 'European']","Jasomirgottstrasse 3A Stephansplatz, Vienna 1010 Austria",1010
571,Aming Dim Sum Profi,4.0,Vegetarian Friendly,€,"['Chinese', 'Asian']","Rechte Wienzeile 47, Vienna 1050 Austria",1050
572,Wirtschaft am Markt,4.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'European', 'Contemporary']","Meidlinger Markt 89-92, Vienna 1120 Austria",1120
573,Mae Aurel Brasserie,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Cafe', 'French', 'Healthy']","Salzgries 3, Vienna 1010 Austria",1010
574,Steak Point,4.0,Gluten Free Options,€€-€€€,"['Steakhouse', 'Barbecue', 'European']","Akademiestrasse 2a Corner with Walfischg. 11, Vienna 1010 Austria",1010
575,Porzellan Lounge,4.5,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['European', 'Austrian', 'Central European']","Servitengasse 2, Vienna 1090 Austria",1090
576,Ristorante Paolo,4.0,Vegetarian Friendly,€€-€€€,"['Italian', 'Seafood', 'Mediterranean', 'European']","Paulusgasse 8, Vienna 1030 Austria",1030
577,Ballroom - Damn.good.dumplings,5.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Fast food', 'International', 'Fusion']","Maria-Theresien-Strasse 5, Vienna 1090 Austria",1090
578,Pumpui,3.5,Vegetarian Friendly,€€-€€€,"['Thai', 'Asian']","Obere Weissgerberstrasse 16, Vienna 1030 Austria",1030
579,Fischer's American Restaurant,4.0,Vegetarian Friendly,€€-€€€,['American'],"Triester Strasse 260-262, Vienna 1230 Austria",1230
580,Luftburg - Kolarik im Prater,3.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'Barbecue', 'Central European', 'Czech']","Waldsteingartenstrasse 128, Vienna 1020 Austria",1020
581,Beim Hofmeister,4.0,Vegetarian Friendly,€€-€€€,"['German', 'Austrian', 'European', 'Central European']","Braeunerstrasse 7, Vienna 1010 Austria",1010
582,I Carusi,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Italian', 'Pizza', 'Mediterranean', 'European']","Kirchengasse 21 1070, Vienna 1070 Austria",1070
583,Reinthaler's Beisl,4.0,Vegetarian Friendly,€€-€€€,"['German', 'Austrian', 'European', 'Central European']","Dorotheergasse 4 Graben, Vienna 1010 Austria",1010
584,Wieden Brau,4.0,Vegetarian Friendly,€€-€€€,"['European', 'Pub', 'Central European']","Waaggasse 5, Vienna 1040 Austria",1040
585,Pizzeria Verdi,4.5,"Vegetarian Friendly, Vegan Options",€,"['Italian', 'Pizza', 'European']","Lange Gasse 16 Josefstadt, Vienna 1080 Austria",1080
586,Zwolf Apostelkeller,3.5,Vegetarian Friendly,€€-€€€,['Austrian'],"Sonnenfelsgasse 3, Vienna 1010 Austria",1010
587,Birner Strand-Gasthaus,3.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'Central European', 'European']","An der oberen Alten Donau 47, Vienna 1210 Austria",1210
588,Loving Hut Wienerberg,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['International', 'Asian', 'Vietnamese']","Maria Kuhn Gasse 6/3, GL. 2 Stg 3, GL. 2, Vienna 1100 Austria",1100
589,MyKai,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Thai', 'Asian']","Franz-Josefs-Kai 47, Vienna 1010 Austria",1010
590,Kostas Oyzerie-Kafe,3.5,Vegetarian Friendly,€€-€€€,"['Greek', 'Mediterranean']","Friedrichstrasse 6, Vienna 1010 Austria",1010
591,Cafe Westend,4.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'Cafe', 'European', 'Central European']","Mariahilfer Strasse 128, Vienna 1070 Austria",1070
592,L. Heiner K.u.K. Hofzuckerbäcker,4.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'Cafe']","Kaerntner Strasse 21-23 1010 Vienna, Vienna 1010 Austria",1010
593,Nautilus Fischrestaurant,4.0,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['Seafood', 'Mediterranean', 'European']","Naschmarkt 673 1060 Vienna, Vienna 1060 Austria",1060
594,SKY Cafe.Restaurant.Bar,3.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Austrian', 'International', 'Contemporary']","Kaerntner Strasse 19, Vienna 1010 Austria",1010
595,Bodega Marques,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Mediterranean', 'European', 'Spanish', 'Fusion']","Parisergasse 1 1010 Vienna, Vienna 1010 Austria",1010
596,wake up,3.0,Vegetarian Friendly,€€-€€€,"['Barbecue', 'International', 'Middle Eastern']","Am Wehr 1 Neue Donau, Vienna 1220 Austria",1220
597,Der Ringsmuth,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Austrian', 'European', 'Central European']","Johannitergasse 1 Österreich, Vienna 1100 Austria",1100
598,La Tavolozza,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Italian', 'Mediterranean', 'European']","Florianigasse 37 8th District, Vienna 1080 Austria",1080
599,Restaurant Stöger,4.5,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['Austrian', 'European', 'International', 'Contemporary', 'Soups']","Ramperstorffergasse 63 1050 Wien, Vienna 1050 Austria",1050
600,Winklers zum Posthorn,4.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'European', 'Gastropub', 'Central European']","Posthorngasse 6, Vienna 1030 Austria",1030
601,Wiltschko Weinbau,4.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'European', 'Central European']","Wittgensteinstrasse 143, Vienna 1230 Austria",1230
602,Mariahilferbrau,4.0,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['German', 'Austrian', 'European', 'Central European', 'Brew Pub']","Mariahilfer Strasse 152 1150 Vienna, Vienna 1150 Austria",1150
603,Restaurant Ragusa,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Seafood', 'Mediterranean', 'European', 'Croatian']","Berggasse 15, Vienna 1090 Austria",1090
604,Kahlenberg,3.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'International', 'European']","Am Kahlenberg 2-3, Vienna 1190 Austria",1190
605,Futterboden,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Austrian', 'European', 'Central European']","Flachgasse 5, Vienna 1140 Austria",1140
